title_current,pct,skill_similarity,major,job_zone,outlook,emp_nat
Wellhead Pumpers,44.38,0.33,Transportation and Material Moving Occupations,2.00,3.00,17350.00
Landscaping and Groundskeeping Workers,16.08,0.33,Building and Grounds Cleaning and Maintenance Occupations,1.00,2.00,943430.00
Foundry Mold and Coremakers,1.73,0.33,Production Occupations,2.00,2.00,12720.00
Terrazzo Workers and Finishers,20.46,0.33,Construction and Extraction Occupations,2.00,4.00,1450.00
Slaughterers and Meat Packers,32.66,0.33,Production Occupations,2.00,1.00,67500.00
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",20.52,0.33,Production Occupations,2.00,1.00,20600.00
Pipelayers,12.45,0.32,Construction and Extraction Occupations,1.00,3.00,33580.00
"Cutting and Slicing Machine Setters, Operators, and Tenders",33.88,0.32,Production Occupations,2.00,2.00,47540.00
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",17.35,0.32,Production Occupations,2.00,1.00,14530.00
"Model Makers, Metal and Plastic",27.13,0.31,Production Occupations,3.00,3.00,3230.00
"Laborers and Freight, Stock, and Material Movers, Hand",20.71,0.31,Transportation and Material Moving Occupations,2.00,2.00,2982530.00
Reinforcing Iron and Rebar Workers,11.47,0.31,Construction and Extraction Occupations,2.00,3.00,14140.00
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",9.56,0.31,Construction and Extraction Occupations,1.00,2.00,7220.00
Fallers,17.31,0.31,"Farming, Fishing, and Forestry Occupations",1.00,1.00,4110.00
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",22.66,0.30,Construction and Extraction Occupations,2.00,2.00,43640.00
Dishwashers,5.27,0.30,Food Preparation and Serving Related Occupations,1.00,2.00,471670.00
Operating Engineers and Other Construction Equipment Operators,14.56,0.30,Construction and Extraction Occupations,2.00,4.00,469270.00
"Coin, Vending, and Amusement Machine Servicers and Repairers",39.86,0.29,"Installation, Maintenance, and Repair Occupations",2.00,2.00,28260.00
"Roustabouts, Oil and Gas",3.54,0.29,Construction and Extraction Occupations,1.00,2.00,45330.00
Tire Builders,1.99,0.29,Production Occupations,2.00,2.00,20970.00
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",15.36,0.28,Construction and Extraction Occupations,2.00,2.00,15660.00
Rail Car Repairers,15.50,0.28,"Installation, Maintenance, and Repair Occupations",2.00,3.00,18300.00
"Tool Grinders, Filers, and Sharpeners",30.99,0.28,Production Occupations,2.00,2.00,5730.00
Cleaners of Vehicles and Equipment,8.56,0.27,Transportation and Material Moving Occupations,2.00,2.00,373960.00
"Sewers, Hand",17.94,0.27,Production Occupations,1.00,1.00,2240.00
Construction Laborers,12.60,0.26,Construction and Extraction Occupations,2.00,3.00,1057660.00
"Textile Cutting Machine Setters, Operators, and Tenders",25.42,0.26,Production Occupations,2.00,1.00,8960.00
Pile Driver Operators,6.36,0.25,Construction and Extraction Occupations,2.00,4.00,3040.00
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",29.82,0.24,Production Occupations,2.00,2.00,63350.00
Textile Bleaching and Dyeing Machine Operators and Tenders,30.80,0.24,Production Occupations,2.00,1.00,5820.00
"Packers and Packagers, Hand",29.00,0.23,Transportation and Material Moving Occupations,2.00,2.00,601440.00
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",11.34,0.21,"Farming, Fishing, and Forestry Occupations",1.00,1.00,261690.00
"Graders and Sorters, Agricultural Products",21.78,0.21,"Farming, Fishing, and Forestry Occupations",1.00,1.00,26870.00
Agricultural Equipment Operators,16.24,0.21,"Farming, Fishing, and Forestry Occupations",1.00,1.00,30940.00
"Sawing Machine Setters, Operators, and Tenders, Wood",38.37,0.21,Production Occupations,2.00,1.00,43140.00
Sewing Machine Operators,21.20,0.21,Production Occupations,1.00,2.00,109590.00
"Paving, Surfacing, and Tamping Equipment Operators",0.90,0.20,Construction and Extraction Occupations,2.00,3.00,45680.00
Drywall and Ceiling Tile Installers,17.32,0.20,Construction and Extraction Occupations,2.00,4.00,82900.00
Machine Feeders and Offbearers,14.15,0.19,Transportation and Material Moving Occupations,2.00,2.00,46690.00
Industrial Truck and Tractor Operators,39.37,0.19,Transportation and Material Moving Occupations,2.00,3.00,805770.00
"Pressers, Textile, Garment, and Related Materials",15.78,0.18,Production Occupations,1.00,1.00,26830.00
Logging Equipment Operators,8.35,0.17,"Farming, Fishing, and Forestry Occupations",1.00,1.00,22520.00
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",27.28,0.16,Production Occupations,2.00,3.00,13890.00
"Rock Splitters, Quarry",6.41,0.16,Construction and Extraction Occupations,1.00,3.00,3080.00
"Welders, Cutters, Solderers, and Brazers",18.65,0.14,Production Occupations,2.00,3.00,424040.00
"Grinding and Polishing Workers, Hand",26.59,0.14,Production Occupations,2.00,3.00,11850.00
"Refractory Materials Repairers, Except Brickmasons",12.88,0.13,"Installation, Maintenance, and Repair Occupations",2.00,4.00,1100.00
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",18.36,0.11,Production Occupations,2.00,3.00,159500.00
Timing Device Assemblers and Adjusters,11.05,0.11,Production Occupations,2.00,2.00,230.00
"Molders, Shapers, and Casters, Except Metal and Plastic",13.72,0.05,Production Occupations,2.00,1.00,3146.00
"Painting, Coating, and Decorating Workers",13.39,0.04,Production Occupations,1.00,1.00,8470.00
"Cutters and Trimmers, Hand",19.59,0.04,Production Occupations,1.00,2.00,7070.00
Refuse and Recyclable Material Collectors,21.01,0.04,Transportation and Material Moving Occupations,2.00,3.00,139180.00
Helpers--Production Workers,32.12,0.04,Production Occupations,2.00,1.00,167490.00
Tapers,9.44,0.02,Construction and Extraction Occupations,2.00,4.00,12500.00
