category,pct_human_conv,workers_human_conv,tier_human_conv,pct_all_confirmed,workers_all_confirmed,tier_all_confirmed,pct_all_ceiling,workers_all_ceiling,tier_all_ceiling
"Bus Drivers, School",14.64,42782.28,Low,14.64,42782.28,Low,25.01,73074.04,Restructuring
Occupational Therapy Assistants,14.62,7004.50,Low,16.83,8062.92,Low,19.47,9329.04,Low
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",14.60,4600.91,Low,14.60,4600.91,Low,23.19,7308.03,Restructuring
Conservation Scientists,14.57,792.97,Low,14.57,792.97,Low,23.08,1256.39,Restructuring
Nursing Assistants,14.54,201853.12,Low,14.84,205985.81,Low,18.82,261328.01,Low
"Tank Car, Truck, and Ship Loaders",14.53,1587.14,Low,14.53,1587.14,Low,33.08,3612.18,Restructuring
"Grinding and Polishing Workers, Hand",14.29,1693.03,Low,14.29,1693.03,Low,26.59,3150.33,Restructuring
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14.28,2235.55,Low,14.28,2235.55,Low,15.36,2404.68,Low
Aircraft Service Attendants,14.25,3890.78,Low,14.25,3890.78,Low,16.60,4532.27,Low
Musicians and Singers,14.12,5416.19,Low,14.12,5416.19,Low,28.94,11097.44,Restructuring
Hearing Aid Specialists,14.11,1492.89,Low,14.11,1492.89,Low,14.11,1492.89,Low
Subway and Streetcar Operators,14.09,1295.89,Low,16.84,1549.30,Low,30.70,2823.95,Restructuring
Aircraft Mechanics and Service Technicians,14.03,19133.35,Low,14.03,19133.35,Low,18.25,24884.75,Low
Wellhead Pumpers,14.02,2432.58,Low,14.02,2432.58,Low,44.38,7699.69,Moderate
Wind Energy Development Managers,13.94,10602.95,Low,13.94,10602.95,Low,29.04,22087.70,Restructuring
Biofuels Processing Technicians,13.88,2213.47,Low,13.88,2213.47,Low,32.28,5148.57,Restructuring
"Tailors, Dressmakers, and Custom Sewers",13.88,2260.41,Low,14.52,2364.78,Low,17.84,2906.53,Low
Team Assemblers,13.85,100921.50,Low,13.85,100921.50,Low,23.36,170292.73,Restructuring
Wind Energy Operations Managers,13.82,7854.83,Low,18.02,10245.88,Low,40.39,22957.73,Moderate
Range Managers,13.80,351.50,Low,13.80,351.50,Low,16.23,413.47,Low
Signal and Track Switch Repairers,13.79,1132.12,Low,13.79,1132.12,Low,20.01,1642.84,Restructuring
"Insulation Workers, Floor, Ceiling, and Wall",13.62,5260.01,Low,13.62,5260.01,Low,13.62,5260.01,Low
"Orthopedic Surgeons, Except Pediatric",13.62,954.30,Low,13.62,954.30,Low,19.44,1362.90,Low
Oral and Maxillofacial Surgeons,13.47,718.10,Low,13.47,718.10,Low,13.47,718.10,Low
Firefighters,13.47,44738.66,Low,13.47,44738.66,Low,17.36,57665.83,Low
"Painting, Coating, and Decorating Workers",13.39,1134.41,Low,13.39,1134.41,Low,13.39,1134.41,Low
Drywall and Ceiling Tile Installers,13.34,11060.62,Low,15.59,12920.07,Low,17.32,14358.92,Low
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,69613.42,Low,13.34,69613.42,Low,16.11,84119.94,Low
"Umpires, Referees, and Other Sports Officials",13.30,2005.53,Low,13.30,2005.53,Low,30.69,4628.64,Restructuring
Laundry and Dry-Cleaning Workers,13.23,25837.60,Low,13.23,25837.60,Low,21.62,42235.55,Restructuring
Physical Therapist Assistants,13.17,14230.21,Low,13.17,14230.21,Low,20.60,22245.05,Restructuring
Pediatric Surgeons,13.12,919.78,Low,13.12,919.78,Low,15.89,1113.75,Low
Orthotists and Prosthetists,12.99,1289.42,Low,12.99,1289.42,Low,16.66,1654.76,Low
Motorboat Mechanics and Service Technicians,12.95,3140.67,Low,12.95,3140.67,Low,13.04,3161.89,Low
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",12.92,14455.77,Low,18.89,21138.83,Low,40.89,45768.31,Moderate
Foresters,12.88,1242.87,Low,12.88,1242.87,Low,13.95,1345.70,Low
"Refractory Materials Repairers, Except Brickmasons",12.88,141.67,Low,12.88,141.67,Low,12.88,141.67,Low
"Molders, Shapers, and Casters, Except Metal and Plastic",12.68,399.01,Low,12.68,399.01,Low,13.72,431.78,Low
Ophthalmic Laboratory Technicians,12.58,2356.88,Low,12.58,2356.88,Low,13.97,2617.67,Low
Cement Masons and Concrete Finishers,12.55,25764.79,Low,16.12,33093.05,Low,16.12,33093.05,Low
Dental Assistants,12.50,46928.56,Low,38.05,142834.78,Restructuring,41.18,154594.00,Moderate
Forest Fire Inspectors and Prevention Specialists,12.20,339.12,Low,12.20,339.12,Low,39.56,1099.80,Restructuring
Log Graders and Scalers,12.19,403.54,Low,12.19,403.54,Low,26.20,867.23,Restructuring
Helpers--Production Workers,12.12,20295.70,Low,12.12,20295.70,Low,32.12,53789.43,Restructuring
"Farmers, Ranchers, and Other Agricultural Managers",12.11,715.88,Low,12.11,715.88,Low,20.79,1228.55,Restructuring
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",12.03,1792.92,Low,19.09,2844.07,Low,30.21,4501.41,Restructuring
Histotechnologists,12.02,6872.18,Low,12.02,6872.18,Low,13.99,7996.35,Low
Fundraising Managers,11.92,6991.95,Low,11.92,6991.95,Low,42.87,25149.33,Moderate
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",11.82,1641.61,Low,11.82,1641.61,Low,27.28,3789.36,Restructuring
Forest and Conservation Workers,11.78,663.48,Low,11.78,663.48,Low,14.95,841.84,Low
Automotive Body and Related Repairers,11.71,18170.33,Low,11.71,18170.33,Low,11.71,18170.33,Low
Phlebotomists,11.57,16074.33,Low,17.06,23688.24,Low,21.13,29348.91,Restructuring
Reinforcing Iron and Rebar Workers,11.47,1622.44,Low,11.47,1622.44,Low,11.47,1622.44,Low
Mechanical Door Repairers,11.38,3183.52,Low,11.38,3183.52,Low,22.66,6339.04,Restructuring
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11.34,249546.90,Low,11.34,249546.90,Low,16.79,369458.76,Low
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",11.28,3710.20,Low,13.39,4404.73,Low,14.70,4834.83,Low
Construction Laborers,11.24,118857.40,Low,11.96,126495.77,Low,12.60,133293.78,Low
"Excavating and Loading Machine and Dragline Operators, Surface Mining",11.21,3836.00,Low,11.21,3836.00,Low,11.21,3836.00,Low
Sewing Machine Operators,11.19,12259.74,Low,11.19,12259.74,Low,21.20,23232.76,Restructuring
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",11.17,1623.37,Low,12.11,1760.31,Low,17.35,2520.32,Low
Paramedics,11.11,15239.15,Low,11.11,15239.15,Low,13.51,18534.06,Low
Pipelayers,11.09,3724.15,Low,11.09,3724.15,Low,12.45,4181.54,Low
Hydroelectric Plant Technicians,10.99,262.39,Low,10.99,262.39,Low,22.03,525.91,Restructuring
"Ophthalmologists, Except Pediatric",10.96,1327.60,Low,10.96,1327.60,Low,18.56,2248.13,Low
"Cutters and Trimmers, Hand",10.93,772.55,Low,10.93,772.55,Low,19.59,1385.08,Low
Animal Trainers,10.84,2179.33,Low,14.76,2967.66,Low,16.60,3338.48,Low
Shoe and Leather Workers and Repairers,10.77,822.90,Low,10.77,822.90,Low,10.77,822.90,Low
"Pressers, Textile, Garment, and Related Materials",10.75,2885.35,Low,10.75,2885.35,Low,15.78,4233.15,Low
Carpenters,10.71,74719.03,Low,10.71,74719.03,Low,16.40,114433.36,Low
Barbers,10.65,1927.67,Low,12.75,2307.14,Low,19.47,3524.54,Low
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",10.59,2065.00,Low,10.59,2065.00,Low,29.58,5768.21,Restructuring
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",10.54,16818.64,Low,14.37,22926.83,Low,18.36,29288.65,Low
Anesthesiologist Assistants,10.49,3637.61,Low,10.49,3637.61,Low,21.01,7289.09,Restructuring
Emergency Medical Technicians,10.44,14319.90,Low,10.44,14319.90,Low,14.49,19878.44,Low
Fiberglass Laminators and Fabricators,10.34,1915.20,Low,10.34,1915.20,Low,10.34,1915.20,Low
Stonemasons,10.30,900.97,Low,10.30,900.97,Low,10.55,923.32,Low
Boilermakers,10.26,1043.66,Low,15.52,1578.87,Low,16.31,1658.47,Low
Dental Laboratory Technicians,10.16,3445.22,Low,14.43,4894.97,Low,14.43,4894.97,Low
Hydroelectric Production Managers,10.08,3193.57,Low,10.08,3193.57,Low,21.25,6732.14,Restructuring
"Roof Bolters, Mining",10.08,224.77,Low,10.08,224.77,Low,14.05,313.21,Low
Physical Therapist Aides,10.07,4430.22,Low,10.07,4430.22,Low,16.86,7419.58,Low
"Graders and Sorters, Agricultural Products",10.06,2701.89,Low,10.06,2701.89,Low,21.78,5851.72,Restructuring
Geothermal Production Managers,10.04,4260.87,Low,10.04,4260.87,Low,30.99,13158.00,Restructuring
"Floor Layers, Except Carpet, Wood, and Hard Tiles",9.90,2459.51,Low,9.90,2459.51,Low,9.90,2459.51,Low
Motion Picture Projectionists,9.83,191.64,Low,9.83,191.64,Low,41.51,809.41,Moderate
Timing Device Assemblers and Adjusters,9.74,22.39,Low,9.74,22.39,Low,11.05,25.41,Low
Embalmers,9.68,330.99,Low,9.68,330.99,Low,17.14,586.14,Low
"Coin, Vending, and Amusement Machine Servicers and Repairers",9.65,2726.19,Low,9.65,2726.19,Low,39.86,11264.05,Restructuring
Tapers,9.44,1180.12,Low,9.44,1180.12,Low,9.44,1180.12,Low
"Rotary Drill Operators, Oil and Gas",9.33,1221.15,Low,9.33,1221.15,Low,17.98,2353.20,Low
Operating Engineers and Other Construction Equipment Operators,9.22,43243.93,Low,9.22,43243.93,Low,14.56,68309.67,Low
Hazardous Materials Removal Workers,9.12,4614.05,Low,9.12,4614.05,Low,17.84,9023.42,Low
Nuclear Power Reactor Operators,8.97,513.36,Low,8.97,513.36,Low,35.94,2055.72,Restructuring
Medical Appliance Technicians,8.97,1031.10,Low,8.97,1031.10,Low,8.97,1031.10,Low
Fence Erectors,8.90,2014.14,Low,8.90,2014.14,Low,8.90,2014.14,Low
Biomass Plant Technicians,8.87,604.87,Low,8.87,604.87,Low,21.25,1449.50,Restructuring
Hoist and Winch Operators,8.77,217.53,Low,8.77,217.53,Low,28.06,696.00,Restructuring
Sailors and Marine Oilers,8.72,2734.11,Low,8.72,2734.11,Low,15.20,4768.03,Low
Structural Metal Fabricators and Fitters,8.66,4623.95,Low,8.66,4623.95,Low,9.74,5197.11,Low
Solar Thermal Installers and Technicians,8.43,18368.14,Low,8.43,18368.14,Low,12.18,26534.86,Low
Automotive and Watercraft Service Attendants,8.36,8217.14,Low,17.99,17679.42,Low,25.26,24826.20,Restructuring
Tree Trimmers and Pruners,8.23,3941.40,Low,8.23,3941.40,Low,8.61,4120.39,Low
Shoe Machine Operators and Tenders,8.17,267.16,Low,8.17,267.16,Low,11.16,365.02,Low
Structural Iron and Steel Workers,8.10,5243.50,Low,9.69,6272.90,Low,12.69,8211.41,Low
Tire Repairers and Changers,8.09,8621.80,Low,8.09,8621.80,Low,9.18,9786.02,Low
Elevator and Escalator Installers and Repairers,8.02,1870.96,Low,8.02,1870.96,Low,21.05,4914.11,Restructuring
Print Binding and Finishing Workers,8.02,2923.41,Low,8.02,2923.41,Low,20.41,7445.08,Restructuring
Prosthodontists,7.89,59.98,Low,18.35,139.43,Low,18.35,139.43,Low
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,2324.66,Low,7.87,2324.66,Low,21.46,6338.33,Restructuring
Refuse and Recyclable Material Collectors,7.76,10794.98,Low,8.35,11620.86,Low,21.01,29247.35,Restructuring
Surgical Technologists,7.70,8773.80,Low,7.70,8773.80,Low,12.58,14325.44,Low
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7.60,548.64,Low,7.60,548.64,Low,9.56,689.95,Low
Facilities Managers,7.55,13922.37,Low,7.55,13922.37,Low,41.14,75909.48,Moderate
Rail Car Repairers,7.40,1354.31,Low,7.40,1354.31,Low,15.50,2836.91,Low
"Loading and Moving Machine Operators, Underground Mining",7.19,441.02,Low,7.19,441.02,Low,14.11,864.89,Low
Ophthalmic Medical Technologists,7.17,284.55,Low,7.17,284.55,Low,14.15,561.35,Low
Continuous Mining Machine Operators,7.01,1004.62,Low,7.01,1004.62,Low,12.01,1722.88,Low
Surgical Assistants,6.89,1575.96,Low,6.89,1575.96,Low,9.77,2232.42,Low
Dental Hygienists,6.72,14727.23,Low,9.99,21878.60,Low,20.52,44943.17,Restructuring
"Rock Splitters, Quarry",6.41,197.41,Low,6.41,197.41,Low,6.41,197.41,Low
Motorboat Operators,6.31,150.11,Low,6.31,150.11,Low,12.86,306.06,Low
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",6.28,1294.59,Low,6.28,1294.59,Low,20.52,4226.41,Restructuring
Helpers--Carpenters,6.10,1501.46,Low,6.10,1501.46,Low,6.10,1501.46,Low
"Service Unit Operators, Oil and Gas",6.07,2679.86,Low,6.07,2679.86,Low,13.51,5962.61,Low
"Laborers and Freight, Stock, and Material Movers, Hand",5.97,178081.92,Low,5.97,178081.92,Low,20.71,617811.81,Restructuring
Landscaping and Groundskeeping Workers,5.83,54974.68,Low,5.83,54974.68,Low,16.08,151671.24,Low
Fishing and Hunting Workers,5.81,0.00,Low,5.81,0.00,Low,9.29,0.00,Low
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",5.69,14893.99,Low,5.69,14893.99,Low,11.34,29682.87,Low
Anesthesiologists,5.60,2346.54,Low,5.78,2420.85,Low,10.19,4270.61,Low
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,687.70,Low,5.52,687.70,Low,10.36,1291.30,Low
"Earth Drillers, Except Oil and Gas",5.49,645.41,Low,5.49,645.41,Low,13.75,1616.02,Low
Industrial Truck and Tractor Operators,5.43,43777.08,Low,5.43,43777.08,Low,39.37,317212.20,Restructuring
Segmental Pavers,5.39,902.91,Low,5.39,902.91,Low,5.39,902.91,Low
Dishwashers,5.27,24840.27,Low,5.27,24840.27,Low,5.27,24840.27,Low
Packaging and Filling Machine Operators and Tenders,5.10,19588.81,Low,5.10,19588.81,Low,26.56,101944.72,Restructuring
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,594.00,Low,5.05,594.00,Low,13.67,1607.41,Low
Histology Technicians,4.99,2855.58,Low,4.99,2855.58,Low,4.99,2855.58,Low
Orderlies,4.94,2621.29,Low,4.94,2621.29,Low,6.42,3401.95,Low
Cleaners of Vehicles and Equipment,4.91,18379.62,Low,4.91,18379.62,Low,8.56,32022.73,Low
Automotive Glass Installers and Repairers,4.75,899.98,Low,4.75,899.98,Low,4.75,899.98,Low
Manicurists and Pedicurists,4.60,6792.67,Low,10.39,15360.92,Low,16.21,23961.10,Low
Roofers,4.58,6259.95,Low,5.61,7669.47,Low,5.61,7669.47,Low
Ship Engineers,4.44,380.89,Low,7.43,637.16,Low,16.55,1420.02,Low
Machine Feeders and Offbearers,4.35,2030.17,Low,4.35,2030.17,Low,14.15,6608.83,Low
Biofuels Production Managers,4.10,271.93,Low,4.10,271.93,Low,22.30,1479.12,Restructuring
Logging Equipment Operators,3.97,893.10,Low,3.97,893.10,Low,8.35,1880.30,Low
First-Line Supervisors of Firefighting and Prevention Workers,3.73,3496.47,Low,3.73,3496.47,Low,19.81,18560.23,Low
Helpers--Extraction Workers,3.66,246.24,Low,3.66,246.24,Low,3.66,246.24,Low
Highway Maintenance Workers,3.21,4876.48,Low,3.21,4876.48,Low,3.21,4876.48,Low
Locksmiths and Safe Repairers,3.11,483.13,Low,3.11,483.13,Low,10.50,1632.21,Low
Maids and Housekeeping Cleaners,2.80,23897.32,Low,2.80,23897.32,Low,8.94,76457.91,Low
"Roustabouts, Oil and Gas",2.46,1112.86,Low,2.46,1112.86,Low,3.54,1605.44,Low
Helpers--Roofers,2.34,121.07,Low,2.34,121.07,Low,2.34,121.07,Low
Tire Builders,1.99,416.34,Low,1.99,416.34,Low,1.99,416.34,Low
Endoscopy Technicians,1.46,405.22,Low,1.46,405.22,Low,2.95,818.00,Low
Ophthalmic Medical Technicians,1.21,926.51,Low,1.21,926.51,Low,3.35,2566.02,Low
Medical Equipment Preparers,0.97,705.82,Low,0.97,705.82,Low,9.56,6955.72,Low
"Paving, Surfacing, and Tamping Equipment Operators",0.90,408.88,Low,0.90,408.88,Low,0.90,408.88,Low
Gas Compressor and Gas Pumping Station Operators,0.83,42.52,Low,0.83,42.52,Low,51.97,2655.82,Moderate
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,65.37,Low,0.54,65.37,Low,4.38,529.71,Low
Recycling and Reclamation Workers,0.00,0.00,Low,0.00,0.00,Low,13.56,404313.00,Low
Rail-Track Laying and Maintenance Equipment Operators,0.00,0.00,Low,0.00,0.00,Low,0.77,127.57,Low
Pile Driver Operators,0.00,0.00,Low,0.00,0.00,Low,6.36,193.33,Low
Floor Sanders and Finishers,0.00,0.00,Low,0.00,0.00,Low,0.00,0.00,Low
Dredge Operators,0.00,0.00,Low,0.00,0.00,Low,10.32,106.27,Low
Bridge and Lock Tenders,0.00,0.00,Low,0.00,0.00,Low,22.87,622.12,Restructuring
Foundry Mold and Coremakers,0.00,0.00,Low,0.00,0.00,Low,1.73,219.60,Low
Water and Wastewater Treatment Plant and System Operators,0.00,0.00,Low,0.00,0.00,Low,16.84,21350.61,Low
