category,pct_tasks_affected,workers_affected,wages_affected
Administer therapeutic massages.,14.45,4274.48,177647407.86
Move construction or extraction materials to locations where they are needed.,14.45,4346.32,171669854.08
Record information about environmental conditions.,14.43,164.20,8600565.15
Inspect timing devices.,14.41,10.50,428125.68
Manage healthcare operations.,14.39,16087.92,1574277944.74
Arrange collective bargaining agreements.,14.38,4643.41,434158555.95
Record operational or environmental data.,14.33,16716.44,1267610845.29
Analyze geological or geographical data.,14.32,3585.80,386687606.11
Assist patients with hygiene or daily living activities.,14.31,15432.76,871970721.53
Estimate time or monetary resources needed to complete projects.,14.29,4508.01,467886365.01
"Install energy-efficient heating, ventilation, or air conditioning (HVAC) equipment.",14.18,8168.88,428234733.13
"Install electrical components, equipment, or systems.",14.16,65101.17,4032716229.17
Observe equipment in operation to detect potential problems.,14.16,25033.15,1555735039.75
Store supplies or goods in kitchens or storage areas.,14.00,75282.03,2454380366.45
Position construction or extraction equipment.,13.97,113.67,8711885.58
Coordinate resource procurement activities.,13.96,5954.86,516613624.30
Treat chronic diseases or disorders.,13.91,17832.72,3069341084.48
Test chemical or physical characteristics of materials or products.,13.89,3806.81,200142329.50
Evaluate environmental impact of operational or development activities.,13.88,2205.03,139997650.49
Patrol natural areas to ensure safety or enforce regulations.,13.87,1155.99,78815387.54
Direct surveying activities.,13.87,979.44,71244699.41
Maintain regulatory or compliance documentation.,13.86,12314.44,1681536167.65
Monitor flow of cash or other resources.,13.82,1269.92,86519510.87
Lay out parts to prepare for assembly.,13.77,2714.43,122664960.83
Provide basic health care services.,13.71,29988.70,2720534667.69
Align equipment or machinery.,13.62,4977.73,258353082.22
Move patients to or from treatment areas.,13.62,63809.88,2820396648.97
"Install heating, ventilation, or air conditioning (HVAC) equipment.",13.57,10248.42,612958267.03
"Irrigate lawns, trees, or plants.",13.35,964.15,34825202.46
Record images needed to address work issues.,13.34,78.19,4779562.12
Assign duties or work schedules to employees.,13.32,18804.16,1163543559.56
Manage budgets for personal services operations.,13.28,49.70,2574167.60
Coordinate design activities.,13.25,894.85,99364545.17
Install drilling equipment.,13.20,365.08,21672392.48
Prepare operational reports or records.,13.18,7700.01,253247197.82
Clean equipment or facilities.,13.14,11696.85,629177297.51
Deliver items.,13.13,43482.67,1493919511.66
Collect biological specimens from patients.,13.03,17393.72,983981157.12
Supervise employees.,12.94,86253.82,6084690161.03
Coordinate cross-disciplinary research programs.,12.91,62.94,6399885.63
Monitor construction operations.,12.90,12731.16,695885320.27
Evaluate condition of properties.,12.90,3589.62,372749879.63
Operate audio-visual equipment.,12.70,143.47,5477761.10
Monitor facilities or operational systems.,12.67,1403.63,95629423.11
"Build models, patterns, or templates.",12.57,1571.12,60986230.65
Coordinate shipping activities with external parties.,12.54,30926.69,1786635138.35
Repair non-engine automotive or vehicle components.,12.38,19382.53,1040529641.35
Maintain surveillance of individuals or establishments.,12.34,7634.47,600313083.84
Design psychological or educational treatment procedures or programs.,12.34,217.70,22137763.68
"Replace worn, damaged, or defective mechanical parts.",12.28,29991.54,1696959094.37
Supervise maintenance workers.,12.27,3222.64,157370461.06
Monitor work areas to provide security.,12.23,32554.29,1540469044.25
Monitor processes for compliance with standards.,12.21,2807.78,198237488.61
Treat patients using alternative medical procedures.,12.14,1613.89,183547966.95
Schedule activities or facility use.,12.12,7580.31,931332299.93
Represent the interests of clients in legal proceedings.,12.12,24087.04,3640996459.83
Maintain sustainable energy production equipment.,11.99,147.28,18057561.80
Resolve issues affecting transportation operations.,11.92,17517.83,650437187.88
Check physical condition of people or animals.,11.92,11746.98,1181628630.89
"Analyze physical, survey, or geographic data.",11.82,1727.08,125628004.42
Operate metal or plastic forming equipment.,11.79,17928.78,884245946.61
Install piping for installation or maintenance activities.,11.70,202.04,10795542.52
Inspect food products.,11.68,21192.25,784771841.68
Research environmental impact of industrial or development activities.,11.64,2403.78,192726897.90
Monitor loading processes to ensure they are performed properly.,11.56,369.46,21454376.79
Collaborate with healthcare professionals to plan or provide treatment.,11.56,83196.80,6651220300.47
Care for patients with mental illnesses.,11.51,3270.93,262753961.56
Develop emergency response plans or procedures.,11.48,320.52,27698551.63
Design furniture.,11.45,396.91,18265861.18
Load materials into construction equipment.,11.44,85.74,4909430.60
Prepare cash for deposit or disbursement.,11.39,161281.69,7122723010.41
Manage environmental sustainability projects.,11.35,43953.10,4551370364.38
"Position equipment using hand tools, power tools, or heavy equipment.",11.31,1504.53,98050044.62
Move furniture.,11.30,31914.48,1131703322.99
"Negotiate contracts for transportation, distribution, or logistics services.",11.26,3562.37,363396947.59
"Position patterns on equipment, materials, or workpieces.",11.26,257.34,9747903.69
Drill holes in construction materials.,11.24,2570.46,102535499.15
Operate diagnostic or therapeutic medical instruments or equipment.,11.19,20102.75,2576249935.86
Prepare hazardous waste for processing or disposal.,11.18,3353.23,162598023.53
Maintain equipment or systems to ensure proper functioning.,11.16,963.64,96171050.09
Develop equipment or component configurations.,11.09,2555.83,182230414.78
Operate precision equipment to control microscopic or nanoscopic processes.,11.06,1358.82,88037819.89
Operate still or video cameras or related equipment.,10.96,2338.13,114101338.69
Operate pumping systems or equipment.,10.95,4096.28,184297027.24
Supervise clerical or administrative personnel.,10.84,58464.19,3869726511.79
Measure work site dimensions.,10.75,38473.79,1799188225.13
Reassemble equipment after repair.,10.73,3523.75,187494168.47
"Examine animals to detect illness, injury or other problems.",10.72,75.10,3905252.30
Install instrumentation or electronic equipment or systems.,10.70,27355.24,2250842428.43
Prescribe medications.,10.68,59061.18,6361580502.00
Collect samples of materials or products for testing.,10.63,4304.17,217548859.44
Fabricate medical devices.,10.57,3543.65,540957716.99
Survey land or properties.,10.53,885.72,48103304.29
Test patient nervous system functioning.,10.53,207.40,51663258.55
Assemble electromechanical or hydraulic systems.,10.43,157.30,8406502.04
Clean materials to prepare them for production.,10.34,2912.87,115903203.50
Monitor operational quality or safety.,10.25,12807.12,412253716.86
Arrange maintenance activities.,10.24,3351.38,162602086.11
Clean medical equipment.,10.21,44303.19,2095541122.25
Administer therapy treatments to patients using hands or physical treatment aids.,10.14,7402.29,430963165.92
Pour materials into or on designated areas.,10.08,12391.73,581425340.15
Process forensic or legal evidence in accordance with procedures.,10.02,809.20,75725032.50
Merchandise healthcare products or services.,9.96,2771.37,127427725.53
Inspect items for damage or defects.,9.96,20598.33,1128116392.82
Finish concrete surfaces.,9.91,6894.29,376911645.20
Treat greenery or surfaces with protective substances.,9.90,12072.18,481628361.77
Supervise scientific or technical personnel.,9.90,9235.67,743443382.75
Direct funeral or mortuary activities.,9.87,654.20,32919495.99
Monitor broadcasting operations to ensure proper functioning.,9.85,546.98,29493195.69
Cut fabrics.,9.76,1001.16,41312714.09
Collect payments for goods or services.,9.75,7063.38,526810682.42
Assess physical conditions of patients to aid in diagnosis or treatment.,9.75,44793.21,1883356951.53
Maintain inventory records.,9.70,2735.61,98509392.62
"Mark products, workpieces, or equipment with identifying information.",9.66,22073.81,852706989.34
Negotiate for services.,9.65,178.25,11348929.41
Inspect mechanical components of vehicles to identify problems.,9.60,20333.82,1220557697.83
Develop strategies or programs for students with special needs.,9.59,48337.27,2927209677.88
Collect geographical or geological field data.,9.50,840.83,49190568.53
Protect patients or staff members using safety equipment.,9.49,223.57,30877328.61
Operate locomotives or other rail vehicles.,9.42,1822.03,141025194.91
Coordinate logistics or other business operations.,9.33,4107.83,332241520.27
Apply material to fill gaps in surfaces.,9.27,21200.13,1031341925.50
Train animals.,9.27,1055.84,40913788.37
Coordinate construction or installation activities.,9.26,1883.50,119583631.67
Direct environmental development activities.,9.23,760.84,79257013.37
Lubricate equipment to allow proper functioning.,9.23,26815.38,1669687175.91
Stock medical or patient care supplies.,9.21,211.22,7893203.13
Operate heating or drying equipment.,9.19,66.07,3018714.87
"Apply bandages, dressings, or splints.",9.19,2310.83,117261450.35
Service vehicles to maintain functionality.,9.18,3441.39,127744264.73
Immunize patients.,9.17,4837.34,222420826.76
"Install parts, assemblies, or attachments in transportation or material handling equipment.",9.13,1238.92,51080726.79
"Clean equipment, parts, or tools to repair or maintain them in good working order.",9.12,25409.40,1571072283.96
Analyze risks related to investments in green technology.,9.12,2723.98,297726056.26
Direct law enforcement activities.,9.08,89.11,7335766.20
Patrol properties to maintain safety.,8.98,5439.34,401910382.68
Cut trees or logs.,8.98,510.47,23785093.77
Record agricultural or forestry inventory data.,8.97,1770.79,84025922.56
Load materials into production equipment.,8.92,10562.08,483224370.93
Feed patients.,8.87,148461.85,5181318725.68
Monitor resources.,8.84,20485.94,2416522053.89
Inspected printed materials or other images to verify quality.,8.81,1141.07,53157909.69
Install vehicle parts or accessories.,8.80,4794.33,226153933.29
Maintain work equipment or machinery.,8.72,17603.17,1029156252.08
"Construct patterns, templates, or other work aids.",8.71,495.16,25872405.80
Monitor cargo area conditions.,8.71,466.07,27973505.09
Maintain vehicles in good working condition.,8.67,6118.15,213217433.22
Perform music for the public.,8.63,462.10,30040929.20
Monitor operational procedures in technical environments to ensure conformance to standards.,8.53,6430.97,334410365.52
Research impacts of environmental conservation initiatives.,8.50,255.57,21200188.58
Assemble precision electronics or optical equipment.,8.46,712.79,36480733.14
Maintain personnel records.,8.43,9368.43,1231408934.19
Place materials into molds.,8.41,1472.62,71347731.32
Assist healthcare practitioners during surgery.,8.25,3574.47,291443179.68
Inspect operational processes.,8.21,4492.71,333628831.72
Operate garment treatment equipment.,8.13,143.79,5366336.04
Manage organizational or project budgets.,8.07,944.90,68845164.40
Direct technical activities or operations.,8.02,132.68,6900822.18
Package materials or products.,8.01,1414.08,52321011.46
"Develop operating strategies, plans, or procedures for green or sustainable operations.",7.94,994.23,101421769.64
Administer standardized physical or psychological tests.,7.89,12676.45,1775083250.84
Request emergency personnel.,7.76,1257.72,43517172.94
Maintain production or processing equipment.,7.72,4501.16,213106502.52
Treat animal injuries or illnesses.,7.66,24.66,1282502.27
Maintain supply or equipment inventories.,7.65,4164.32,186913927.69
Schedule product or material transportation.,7.64,383.29,26113337.84
"Operate control consoles for sound, lighting or video.",7.63,853.69,56710589.66
Treat patients using psychological therapies.,7.59,13333.88,1204645859.53
Draw guide lines or markings on materials or workpieces using patterns or other references.,7.53,4173.51,230006368.21
Fabricate parts or components.,7.47,14607.92,679883530.22
Design energy production or management equipment or systems.,7.40,557.30,65621523.28
Coordinate safety or regulatory compliance activities.,7.32,1133.74,116004512.74
Direct fire fighting or prevention activities.,7.31,655.30,51152904.95
Direct passenger or freight transport activities.,7.22,143.58,7449154.39
Repair textiles or apparel.,7.21,536.52,21922080.38
Repair production equipment or tools.,7.20,2864.49,138228319.30
Inspect finishes of workpieces or finished products.,7.15,264.31,12943043.44
Prepare fabrics or materials for processing or production.,7.12,5955.87,334421901.23
Direct equipment maintenance or repair activities.,7.12,1133.74,116004512.74
Lay out work according to specifications.,7.09,22628.18,1100182088.98
Supervise patient care personnel.,7.04,5111.93,571556135.28
Conduct financial or regulatory audits.,7.01,1215.87,166026617.43
Direct energy production or management activities.,6.99,606.20,85643606.22
"Monitor patient conditions during treatments, procedures, or activities.",6.95,66178.17,6108589672.51
Inspect work sites to identify potential environmental or safety hazards.,6.91,3095.84,223272213.97
Direct design or development activities.,6.89,6197.88,634166999.70
Install plumbing or piping.,6.87,3476.81,145681013.55
Monitor equipment operation to ensure proper functioning.,6.87,28881.98,1617361212.75
Record operational details of travel.,6.85,2248.46,382807968.54
Inspect facilities to ensure compliance with security or safety regulations.,6.84,513.35,31718198.60
Install hardware or other interior fixtures.,6.80,161.64,10616437.91
Mark agricultural or forestry products for identification.,6.72,90.36,4220626.19
Supervise workers performing environmentally sustainable activities.,6.70,2455.54,411891973.88
Adjust fabrics or other materials during garment production.,6.68,732.86,24829162.20
Measure the physical or physiological attributes of patients.,6.61,12547.44,1240977489.91
Inspect facilities.,6.58,2105.74,82503079.13
"Move materials, equipment, or supplies.",6.47,4205.61,169044599.96
Analyze traffic data.,6.40,1493.63,154554256.49
Operate heavy-duty construction or installation equipment.,6.33,1388.23,68217586.56
"Load shipments, belongings, or materials.",6.30,8155.84,303655985.23
Direct material handling or moving activities.,6.28,3134.86,194047653.68
Monitor environment to ensure safety.,6.23,1621.51,196915796.42
Conduct validation tests of equipment or processes.,6.19,812.49,96798776.04
Monitor patients to detect health problems.,6.16,13452.24,531766965.39
Seal gaps or cracks to prevent leakage or moisture intrusion.,6.12,85.89,3528479.95
Decontaminate equipment or sites to remove hazardous or toxic substances.,6.06,203.20,9985063.67
Install carpet or flooring.,5.99,417.72,20823139.49
Drive vehicles to transport patrons.,5.95,2122.82,68036419.77
Adjust prostheses or other assistive devices.,5.95,2713.49,445356863.22
Record service or repair activities.,5.94,667.05,32805440.77
Maintain clean work areas.,5.90,425.30,25046040.19
Operate grounds maintenance equipment.,5.82,12072.18,481628361.77
Prescribe assistive medical devices or related treatments.,5.80,5892.19,551508821.16
Maintain repair or maintenance records.,5.77,14090.32,685353158.42
Inspect completed work to ensure proper functioning.,5.63,18736.42,1467062021.67
Maintain student records.,5.50,24620.72,922086918.94
Store items.,5.49,32632.72,1409407237.83
Monitor work areas or procedures to ensure compliance with safety procedures.,5.46,17149.51,1342806808.90
Apply makeup to alter or enhance appearance.,5.45,88.54,4451646.95
Negotiate contracts with clients or service providers.,5.43,5604.39,423971935.70
Install building fixtures.,5.42,930.37,44769585.39
Monitor extraction operations.,5.42,310.66,20196299.82
Clean facilities or work areas.,5.41,14042.51,475277225.40
Inspect work to ensure standards are met.,5.39,6150.72,345486137.51
Manage clerical or administrative activities.,5.29,24689.60,1142881592.52
Negotiate purchases or contracts.,5.18,828.45,52949628.68
Assemble electrical or electronic equipment.,5.13,1044.36,64415900.32
Design alternative energy systems.,5.12,281.65,33163878.10
"Monitor green energy equipment, systems, or facilities.",5.07,1376.49,167160871.45
Repair precision devices or workpieces.,4.99,313.50,20390142.06
Supervise engineering or other technical personnel.,4.97,21906.04,2201760776.44
Supervise workers providing client or patient services.,4.95,5241.31,337182974.49
Treat dental problems or diseases.,4.94,3028.42,523280679.45
Develop environmental sustainability plans or projects.,4.86,222.98,25740971.24
Remove parts or components from equipment.,4.84,85.89,3528479.95
Manage agricultural or forestry operations.,4.80,395.59,20980237.19
Inspect work sites to determine condition or necessary repairs.,4.75,3396.11,248694648.36
Coordinate logistics for productions or events.,4.65,2104.41,192911159.09
Administer intravenous medications.,4.55,1228.89,274300520.15
Apply water or solutions to fabrics or apparel.,4.51,580.49,26563130.23
Administer basic health care or medical treatments.,4.49,11251.00,790680083.37
Direct medical science or healthcare programs.,4.41,474.30,43062562.29
Operate painting or coating equipment.,4.40,2928.46,139365535.83
Clean furniture or fixtures.,4.39,12099.05,419353203.43
Monitor patients following surgeries or other treatments.,4.38,1097.29,147947440.08
Maintain medical laboratory equipment.,4.29,1160.95,69697168.53
Administer anesthetics or sedatives to control pain.,4.26,1228.89,274300520.15
Direct vehicle traffic.,4.25,8438.11,318334889.29
"Maintain forestry, hunting, or agricultural equipment.",4.23,590.82,25157041.05
Maintain medical equipment or instruments.,4.21,7131.92,573301288.86
Maintain the inventory of equipment.,4.19,1491.35,114759666.24
Operate photographic developing or print production equipment.,4.19,6266.37,419720712.73
Cut industrial materials in preparation for fabrication or processing.,4.16,1237.14,55640548.61
Apply lubricants or coolants to workpieces.,4.16,1291.32,58354670.11
Evaluate treatment options to guide medical decisions.,4.14,6792.26,647580134.34
Monitor traffic signals.,3.98,2858.02,99973702.25
Load materials or equipment.,3.91,343.75,20817220.83
Position safety or support equipment.,3.91,518.47,31398764.98
Direct operational or production activities.,3.88,24767.13,1051338218.37
Operate cutting equipment.,3.74,1019.31,46697654.16
Monitor availability of equipment or supplies.,3.71,197.04,11441946.92
Assist patients with daily activities.,3.64,160557.39,5603453020.17
Mount materials or workpieces onto production equipment.,3.62,5400.33,268667491.25
Inspect facilities to ensure compliance with fire regulations.,3.60,64.61,3384084.99
Route mail to correct destinations.,3.59,25711.80,1190199227.50
Sterilize medical equipment or instruments.,3.58,200.47,20446355.79
Replace worn equipment components.,3.58,3555.27,184134041.75
Measure environmental characteristics.,3.57,46.19,6105586.95
Evaluate quality of materials or products.,3.47,3783.13,345286093.61
Clean production equipment.,3.40,3290.39,152182583.65
Sew clothing or other articles.,3.39,536.52,21922080.38
"Travel to work sites to perform installation, repair or maintenance work.",3.33,6127.05,366458781.07
Load materials into equipment for processing.,3.23,149.09,6392841.44
"Smooth garments with irons, presses, or steamers.",3.10,400.56,13570926.38
Unload materials or equipment.,3.09,343.75,20817220.83
Operate textile cutting or production equipment.,3.00,325.96,12438664.01
Align parts or workpieces to ensure proper assembly.,2.95,1142.38,67725337.12
Apply solutions to production equipment.,2.95,153.86,7560627.61
Direct courtroom activities or procedures.,2.92,382.56,59759780.76
Test green technologies or processes.,2.89,687.67,110839297.34
Inspect motor vehicles.,2.84,3823.21,192650271.43
"Notify others of emergencies, problems, or hazards.",2.79,4544.82,192683481.17
Maintain operational records for green energy processes or other environmentally-sustainable activities.,2.72,1588.58,327915185.39
Assemble mechanical components or machine parts.,2.70,403.47,19044007.50
Examine medical instruments or equipment to ensure proper operation.,2.68,303.50,26762770.58
Assist skilled construction or extraction personnel.,2.64,25856.01,1208251400.15
Inspect production equipment.,2.59,835.05,38538905.94
"Assemble electrical components, subsystems, or systems.",2.58,338.82,18789666.60
Direct employee training programs.,2.50,113.93,10661436.14
Signal others to coordinate work activities.,2.45,1093.29,49908811.33
Treat medical emergencies.,2.43,112.63,7321831.28
Apply sealants or other protective coatings.,2.41,276.32,12843288.66
Check quality of foods or supplies.,2.39,2527.68,154163101.62
Operate welding equipment.,2.35,9955.65,507738123.29
"Develop educational goals, standards, policies, or procedures.",2.17,1197.42,124483772.56
Apply parting agents or other solutions to molds.,2.14,115.98,5676061.50
"Drill holes in parts, equipment, or materials.",2.07,78.63,2826741.64
Clean facilities or equipment.,1.83,676.84,28116057.35
Remove products or workpieces from production equipment.,1.80,1207.81,55196994.83
Watch operating equipment to detect malfunctions.,1.77,1312.31,128002748.15
"Remove accessories, tools, or other parts from equipment.",1.75,224.52,10258314.03
Clean work areas.,1.69,32033.32,1515816782.83
Control pumps or pumping equipment.,1.61,622.35,30874623.01
Coordinate forestry or agricultural activities.,1.60,62.08,4386394.24
Evaluate logistics methods to reduce environmental impact.,1.60,513.41,41524432.10
Signal others to coordinate vehicle movement.,1.59,1032.83,42903944.85
Evaluate performance of educational staff.,1.55,146.57,11639589.96
Direct industrial production activities.,1.54,553.63,65190471.23
Notify others of equipment repair or maintenance needs.,1.42,403.06,20628496.86
Mix sound inputs.,1.42,77.39,5140883.93
Fabricate devices or components.,1.37,438.52,51636270.97
Direct green energy production operations.,1.31,380.26,46178541.94
"Operate cranes, hoists, or other moving or lifting equipment.",1.29,476.14,25929393.48
Apply knowledge or research findings to address environmental problems.,1.28,19.79,1928226.51
"Remove worn, damaged or outdated materials from work areas.",1.28,157.14,7721665.23
Apply adhesives to construction materials.,1.20,13.70,660956.33
Weld metal components.,1.17,3034.43,179971931.88
Apply protective or decorative finishes to workpieces or products.,1.12,270.23,12647884.76
Repair defective engines or engine components.,1.08,2604.90,129385522.32
Confer with others about financial matters.,0.97,1323.03,135134319.51
Develop fire safety or prevention programs or plans.,0.91,185.22,17119766.24
Dig holes or trenches.,0.88,1112.86,52872129.44
Confer with other professionals to plan patient care.,0.79,1583.62,148226776.23
Inspect condition of natural environments.,0.79,55.94,3631186.36
Position construction forms or molds.,0.70,28.49,1481231.19
Drive passenger vehicles.,0.68,189.51,17054235.00
Provide for basic needs of children.,0.65,507.72,16272470.31
Plan natural resources conservation or restoration programs.,0.61,29.07,2327212.46
Establish rules or policies governing student behavior.,0.60,448.93,38706457.82
Operate ships or other watercraft.,0.60,144.38,7162798.75
Maintain mechanical equipment.,0.57,223.52,17528706.14
Operate vehicles or material-moving equipment.,0.55,9866.65,887214309.24
Survey land or bodies of water to measure or determine features.,0.52,1227.74,137396155.43
Disassemble equipment for maintenance or repair.,0.50,792.01,59155141.40
Feed materials or products into or through equipment.,0.46,638.92,40367005.17
Test air quality at work sites.,0.07,41.21,2972219.27
Monitor lubrication of equipment or workpieces.,0.00,0.00,0.00
Maintain material moving equipment in good working condition.,0.00,0.00,0.00
Direct criminal investigations.,0.00,0.00,0.00
Monitor recreational facility operations.,0.00,0.00,0.00
Monitor equipment gauges or displays to ensure proper operation.,0.00,0.00,0.00
Arrange facility schedules.,0.00,0.00,0.00
Assemble tires.,0.00,0.00,0.00
Assemble temporary equipment or structures.,0.00,0.00,0.00
Assemble structural components.,0.00,0.00,0.00
Assemble products or production equipment.,0.00,0.00,0.00
Assemble metal structures.,0.00,0.00,0.00
Assemble metal or plastic parts or products.,0.00,0.00,0.00
Install insulation in equipment or structures.,0.00,0.00,0.00
Monitor operational activities to ensure compliance with regulations or standard operating procedures.,0.00,0.00,0.00
Monitor medical equipment to ensure proper functioning.,0.00,0.00,0.00
"Maintain food, beverage, or equipment inventories.",0.00,0.00,0.00
Maintain fire fighting tools or equipment.,0.00,0.00,0.00
Maintain extraction or excavation equipment.,0.00,0.00,0.00
Maintain drilling equipment.,0.00,0.00,0.00
Load agricultural or forestry products for shipment.,0.00,0.00,0.00
Treat facilities to eliminate pests.,0.00,0.00,0.00
Administer blood or other fluids intravenously.,0.00,0.00,0.00
Transport clients to appointments.,0.00,0.00,0.00
Transport biological or other medical materials.,0.00,0.00,0.00
"Transport animals, crops, or equipment.",0.00,0.00,0.00
Administer screening tests to determine abilities or treatment needs.,0.00,0.00,0.00
Apply chemical solutions to plants to protect against disease or insects or to enhance growth.,0.00,0.00,0.00
Protect structures or surfaces near work areas to avoid damage.,0.00,0.00,0.00
Maintain sterile operative fields.,0.00,0.00,0.00
Protect property from fire or water damage.,0.00,0.00,0.00
Direct operations of correctional facilities.,0.00,0.00,0.00
Monitor equipment fluid levels.,0.00,0.00,0.00
Diagnose neural or psychological disorders.,0.00,0.00,0.00
Trim trees or other vegetation.,0.00,0.00,0.00
Direct emergency management activities.,0.00,0.00,0.00
Direct construction activities.,0.00,0.00,0.00
Monitor activities affecting environmental quality.,0.00,0.00,0.00
Trim excess material from workpieces.,0.00,0.00,0.00
Maintain construction tools or equipment.,0.00,0.00,0.00
Lubricate production equipment.,0.00,0.00,0.00
Locate natural resources using geospatial or other environmental data.,0.00,0.00,0.00
Locate fires or fire danger areas.,0.00,0.00,0.00
Apply protective coverings to objects or surfaces near work areas.,0.00,0.00,0.00
Manage control system activities in organizations.,0.00,0.00,0.00
Time vehicle speed or traffic-control equipment operation.,0.00,0.00,0.00
Monitor conditions at energy-producing landfills.,0.00,0.00,0.00
Monitor building premises to ensure occupant or visitor safety.,0.00,0.00,0.00
Locate equipment or materials in need of repair or replacement.,0.00,0.00,0.00
Maneuver workpieces in equipment during production.,0.00,0.00,0.00
Manage scientific or technical project resources.,0.00,0.00,0.00
Manage organizational security activities.,0.00,0.00,0.00
Manage operations of artistic or entertainment departments or organizations.,0.00,0.00,0.00
Administer first aid.,0.00,0.00,0.00
Administer drug screening tests.,0.00,0.00,0.00
Administer cancer treatments.,0.00,0.00,0.00
Develop operational methods or processes that use green materials or emphasize sustainability.,0.00,0.00,0.00
Disassemble equipment to inspect for deficiencies.,0.00,0.00,0.00
Disable door locks.,0.00,0.00,0.00
Direct quality control activities.,0.00,0.00,0.00
Direct productions or performances.,0.00,0.00,0.00
Protect wildlife or natural areas.,0.00,0.00,0.00
Verify alignment of structures or equipment.,0.00,0.00,0.00
Administer oaths to court participants.,0.00,0.00,0.00
Administer medical substances for imaging or other procedures.,0.00,0.00,0.00
Adjust position of molds during processing.,0.00,0.00,0.00
Trim excess material from installations.,0.00,0.00,0.00
Align masonry materials.,0.00,0.00,0.00
Analyze geological samples.,0.00,0.00,0.00
Treat patients using physical therapy techniques.,0.00,0.00,0.00
"Treat nails by shaping, decorating, or augmenting.",0.00,0.00,0.00
Maintain locomotives or other rail equipment in good working condition.,0.00,0.00,0.00
Dismantle equipment or temporary structures.,0.00,0.00,0.00
Document legal or regulatory information.,0.00,0.00,0.00
Drive vehicles to transport individuals or equipment.,0.00,0.00,0.00
Drive trucks or truck-mounted equipment.,0.00,0.00,0.00
Drive trucks or other vehicles to or at work sites.,0.00,0.00,0.00
Design systems to reduce harmful emissions.,0.00,0.00,0.00
Record information from legal proceedings.,0.00,0.00,0.00
Record information about suspicious objects.,0.00,0.00,0.00
Record information about suspects or criminals.,0.00,0.00,0.00
Record information about legal matters.,0.00,0.00,0.00
Develop contingency plans to deal with organizational emergencies.,0.00,0.00,0.00
Record details of deliveries or shipments.,0.00,0.00,0.00
Receive shipments.,0.00,0.00,0.00
Develop emergency procedures.,0.00,0.00,0.00
Develop educational policies.,0.00,0.00,0.00
Rebuild parts or components.,0.00,0.00,0.00
Prepare patient treatment areas for use.,0.00,0.00,0.00
Prepare outgoing shipments.,0.00,0.00,0.00
Prepare operational budgets for green energy or other green operations.,0.00,0.00,0.00
Remove debris or damaged materials.,0.00,0.00,0.00
Remove debris from work sites.,0.00,0.00,0.00
Relay information about incidents or emergencies to personnel using phones or two-way radios.,0.00,0.00,0.00
Refinish wood or metal surfaces.,0.00,0.00,0.00
Determine geographic coordinates.,0.00,0.00,0.00
Design water conservation systems.,0.00,0.00,0.00
"Design tools, fixtures, or other devices for production equipment.",0.00,0.00,0.00
Prepare surfaces for finishing.,0.00,0.00,0.00
Prepare staff schedules or work assignments.,0.00,0.00,0.00
Dispose of trash or waste materials.,0.00,0.00,0.00
Dispose of hazardous materials.,0.00,0.00,0.00
Dispose of biomedical waste in accordance with standards.,0.00,0.00,0.00
Dismantle heavy equipment or machinery.,0.00,0.00,0.00
Remove skin or other body parts from animals.,0.00,0.00,0.00
Remove parts or components from vehicles.,0.00,0.00,0.00
Remove excess materials from finished construction projects.,0.00,0.00,0.00
Design energy-efficient vehicles or vehicle components.,0.00,0.00,0.00
"Remove dents from equipment, materials, tools or structures.",0.00,0.00,0.00
Remove debris or vegetation from work sites.,0.00,0.00,0.00
"Engrave designs, text, or other markings onto materials, workpieces, or products.",0.00,0.00,0.00
Embalm corpses.,0.00,0.00,0.00
"Escort prisoners to courtrooms, prisons, or other facilities.",0.00,0.00,0.00
Estimate maintenance service requirements or costs.,0.00,0.00,0.00
Estimate green project costs.,0.00,0.00,0.00
Prepare materials for processing.,0.00,0.00,0.00
Prepare land for agricultural use.,0.00,0.00,0.00
Drill holes in earth or rock.,0.00,0.00,0.00
Prepare regulatory or compliance documentation.,0.00,0.00,0.00
Prepare products for testing.,0.00,0.00,0.00
Cut glass.,0.00,0.00,0.00
Replace vehicle glass.,0.00,0.00,0.00
Repair tires.,0.00,0.00,0.00
"Repair templates, patterns, or molds.",0.00,0.00,0.00
Repair parts or assemblies.,0.00,0.00,0.00
Repair medical or dental assistive devices.,0.00,0.00,0.00
Repair furniture or upholstery.,0.00,0.00,0.00
Prepare explosives for detonation.,0.00,0.00,0.00
Prepare excavation or extraction sites for commissioning or decommissioning.,0.00,0.00,0.00
Evaluate quality of plants or crops.,0.00,0.00,0.00
Evaluate projects to determine compliance with technical specifications.,0.00,0.00,0.00
Examine financial records to ensure compliance with policies or regulations.,0.00,0.00,0.00
Evaluate log quality.,0.00,0.00,0.00
Evaluate green operations or programs for compliance with standards or regulations.,0.00,0.00,0.00
Remove workpieces from molds.,0.00,0.00,0.00
Remove trash.,0.00,0.00,0.00
"Polish materials, workpieces, or finished products.",0.00,0.00,0.00
Plant greenery to improve landscape appearance.,0.00,0.00,0.00
"Plant crops, trees, or other plants.",0.00,0.00,0.00
Report vehicle or equipment malfunctions.,0.00,0.00,0.00
Count prison inmates or personnel.,0.00,0.00,0.00
"Cultivate lawns, turf, or gardens.",0.00,0.00,0.00
Cultivate land.,0.00,0.00,0.00
