iwa,date,pct_tasks_affected,workers_affected,wages_affected
Operate audiovisual or related equipment.,2025-08-11,20.66,117725.36,4811773597.12
Collect information about patients or clients.,2025-08-11,22.04,116983.00,9319182930.55
Analyze biological or chemical substances or related data.,2025-08-11,61.05,116043.54,9449843678.15
"Replenish inventories of materials, equipment, or products.",2025-08-11,14.99,113871.63,7369367914.93
Inspect completed work or finished products.,2025-08-11,10.76,112444.92,6417736876.29
Edit written materials or documents.,2025-08-11,74.15,110355.77,9500072145.24
Analyze business or financial risks.,2025-08-11,42.95,104141.69,9274702605.96
"Coordinate activities with clients, agencies, or organizations.",2025-08-11,28.59,103472.90,12722949482.33
Research technology designs or applications.,2025-08-11,65.69,101518.38,10743582424.49
Escort others.,2025-08-11,21.35,100478.95,3552550984.16
Diagnose system or equipment problems.,2025-08-11,59.53,97634.93,6038425470.37
"Research organizational behavior, processes, or performance.",2025-08-11,66.69,91730.70,7562341691.89
Position materials or components for assembly.,2025-08-11,8.71,90543.90,5015052344.46
"Assess living, work, or social needs or status of individuals or communities.",2025-08-11,44.67,90492.49,6420088092.19
Confer with clients to determine needs or order specifications.,2025-08-11,54.62,89198.69,5650796342.31
Monitor operations to ensure adequate performance.,2025-08-11,9.93,87156.37,7765686174.97
Diagnose health conditions or disorders.,2025-08-11,13.99,86236.28,9008474461.18
Maintain tools or equipment.,2025-08-11,6.27,82962.93,4478198982.48
"Evaluate condition of financial assets, property, or other resources.",2025-08-11,26.20,81113.90,6894403581.69
Analyze performance of systems or equipment.,2025-08-11,58.71,80571.09,6697395493.91
Plan events or programs.,2025-08-11,66.43,79502.89,6718257598.57
Direct scientific or technical activities.,2025-08-11,19.61,79237.17,8452794883.69
Install commercial or production equipment.,2025-08-11,13.14,77658.06,5556984858.32
"Move materials, equipment, or supplies.",2025-08-11,5.20,74833.76,2575269861.54
Prepare proposals or grant applications.,2025-08-11,46.43,74599.40,5904029564.25
Package objects.,2025-08-11,4.92,74320.64,2344979123.04
Repair electrical or electronic equipment.,2025-08-11,16.40,74008.90,5099926061.83
Estimate project development or operational costs.,2025-08-11,25.19,73328.33,5566394736.11
Repair tools or equipment.,2025-08-11,11.34,73118.62,4137127858.53
Care for plants or animals.,2025-08-11,54.50,66628.56,2594237588.52
Prepare schedules for services or facilities.,2025-08-11,19.49,66612.21,3129396734.49
Mark materials or objects for identification.,2025-08-11,6.46,66379.42,2896357403.67
Collaborate in the development of educational programs.,2025-08-11,32.72,65602.91,3783314050.95
Transport patients or clients.,2025-08-11,13.40,63809.88,2820396648.97
Prepare medical equipment or work areas for use.,2025-08-11,17.12,62791.68,3566585827.14
Assess characteristics or impacts of regulations or policies.,2025-08-11,65.55,60988.92,5306359033.64
Test characteristics of materials or products.,2025-08-11,21.98,57875.99,3451711507.13
Research biological or ecological phenomena.,2025-08-11,65.79,56544.91,5099871484.35
"Develop models of systems, processes, or products.",2025-08-11,61.30,56006.06,6453268864.89
Prescribe medical treatments or devices.,2025-08-11,10.28,55719.66,5912204982.30
"Coordinate group, community, or public activities.",2025-08-11,24.18,55267.42,3237916169.16
Issue documentation.,2025-08-11,55.28,54813.13,2595217513.33
Evaluate personnel capabilities or performance.,2025-08-11,19.54,54525.45,4085961601.52
Design electrical or electronic systems or equipment.,2025-08-11,32.43,54418.96,5350134062.30
Inspect facilities or equipment.,2025-08-11,8.38,48479.86,3589112867.10
Perform general construction or extraction activities.,2025-08-11,3.96,45675.65,2190062195.91
Design databases.,2025-08-11,48.58,45495.43,4911698741.55
Clean medical equipment or facilities.,2025-08-11,6.53,44503.67,2115987478.04
Design structures or facilities.,2025-08-11,27.49,43803.93,4257557161.77
Record information about legal matters.,2025-08-11,23.25,43378.49,3835395755.56
Examine people or animals to assess health conditions or physical characteristics.,2025-08-11,10.18,42941.92,5629486965.81
Operate medical equipment.,2025-08-11,11.25,42658.25,5219623763.85
"Assist scientists, scholars, or technical specialists with projects or research.",2025-08-11,55.38,42398.86,2579468807.45
Perform human resources activities.,2025-08-11,19.19,42255.31,3336297695.22
Administer basic health care or medical treatments.,2025-08-11,7.01,41992.47,3933587992.93
Operate industrial processing or production equipment.,2025-08-11,6.87,41609.19,2257483144.26
Resolve personnel or operational problems.,2025-08-11,16.07,41258.07,3582883263.29
Intervene in crisis situations or emergencies.,2025-08-11,10.23,40595.73,1737462309.60
"Interpret language, cultural, or religious information for others.",2025-08-11,81.47,39625.32,2267331384.88
Coach others.,2025-08-11,51.03,38644.93,2295744515.13
Research healthcare issues.,2025-08-11,57.46,36726.03,3927819181.14
Develop sustainable organizational or business policies or practices.,2025-08-11,20.04,35910.06,3813407968.98
Order medical tests or procedures.,2025-08-11,34.75,35684.45,5650293075.90
Create artistic designs or performances.,2025-08-11,54.21,34948.45,2004660832.30
"Investigate individuals' background, behavior, or activities.",2025-08-11,57.04,34372.43,1848734801.21
Apply decorative finishes.,2025-08-11,51.61,31263.30,1739988635.93
Study details of artistic productions.,2025-08-11,64.44,30925.65,2229410182.28
"Develop news, entertainment, or artistic content.",2025-08-11,62.35,30862.39,2240359513.26
Evaluate project feasibility.,2025-08-11,29.11,30669.37,5146356112.71
Position workpieces or materials on equipment.,2025-08-11,7.66,29695.14,1390362483.66
"Treat injuries, illnesses, or diseases.",2025-08-11,6.18,29268.73,3831636212.35
Cut materials.,2025-08-11,7.48,29240.26,1486847626.16
Obtain information about goods or services.,2025-08-11,77.84,28496.65,2132587760.52
Present information in legal proceedings.,2025-08-11,14.16,27519.94,4134830349.86
Conduct amusement or gaming activities.,2025-08-11,54.92,27493.29,969936490.23
Mediate disputes.,2025-08-11,18.65,27019.11,1554690262.45
Develop scientific or mathematical theories or models.,2025-08-11,63.71,26066.17,2764242466.73
Inspect vehicles.,2025-08-11,5.63,25220.48,1457975050.56
Present arts or entertainment performances.,2025-08-11,22.63,24088.55,1901498688.84
Advise others on environmental sustainability or green practices.,2025-08-11,48.23,23744.65,2488639355.89
Investigate organizational or operational problems.,2025-08-11,54.41,23455.29,1890565918.65
Apply materials to fill gaps or imperfections.,2025-08-11,9.79,22695.66,1116914173.98
Design industrial systems or equipment.,2025-08-11,15.34,22259.45,2332732537.24
Obtain formal documentation or authorization.,2025-08-11,54.92,22250.88,1316509155.65
Repair vehicle components.,2025-08-11,3.55,21987.43,1169915163.67
Develop public or community health programs.,2025-08-11,30.20,21546.67,2121938758.38
Process animal carcasses.,2025-08-11,24.51,21493.01,839949824.79
"Load products, materials, or equipment for transportation or further processing.",2025-08-11,5.52,20769.10,890347580.35
Advocate for individual or community needs.,2025-08-11,45.02,20636.49,1412859697.39
Administer therapeutic treatments.,2025-08-11,4.18,20606.15,1628074321.93
Investigate incidents or accidents.,2025-08-11,55.34,20550.10,1831022600.76
Research historical or social issues.,2025-08-11,82.28,20228.77,2077758173.97
Prepare specimens or materials for testing.,2025-08-11,12.77,20164.09,1311761847.45
Assemble equipment or components.,2025-08-11,7.87,19819.46,1199845067.88
"Perform athletic activities for fitness, competition, or artistic purposes.",2025-08-11,49.81,18945.14,1223333892.34
Operate transportation equipment or vehicles.,2025-08-11,1.31,18917.45,1443524236.75
"Join parts using soldering, welding, or brazing techniques.",2025-08-11,5.59,18443.13,1152044460.93
Develop financial or business plans.,2025-08-11,34.98,18425.61,1194147535.12
Install energy or heating equipment.,2025-08-11,7.61,18417.30,1041193000.16
Assist individuals with paperwork.,2025-08-11,54.67,17994.15,865164509.73
Administer diagnostic tests to assess patient health.,2025-08-11,5.91,17825.33,1304639088.59
Develop research plans or methodologies.,2025-08-11,41.83,17539.34,1686420040.45
Investigate the environmental impact of industrial or development activities.,2025-08-11,17.34,16606.29,1474152663.08
Design materials or devices.,2025-08-11,51.75,16527.24,1488542282.95
Coordinate artistic or entertainment activities.,2025-08-11,17.71,15602.22,930247071.79
Advise others on workplace health or safety issues.,2025-08-11,47.31,15491.90,1243032811.40
Coordinate regulatory compliance activities.,2025-08-11,13.79,15373.55,1639139095.29
Fabricate devices or components.,2025-08-11,6.47,15046.45,731519801.19
Perform court-related or other legal administrative activities.,2025-08-11,11.97,14877.13,907849879.36
Create decorative objects or parts of objects.,2025-08-11,55.78,14593.38,656055896.11
Apply protective solutions or coatings.,2025-08-11,3.85,13871.65,580253870.01
Communicate environmental or sustainability information.,2025-08-11,53.45,13841.36,1477072125.58
Maintain vehicles in working condition.,2025-08-11,3.29,13209.03,643208651.50
Serve on organizational committees.,2025-08-11,36.58,13184.30,1215597494.16
Monitor environmental conditions.,2025-08-11,9.78,12122.79,413675532.50
Operate agricultural or forestry equipment.,2025-08-11,1.73,12072.18,481628361.77
Prepare industrial materials for processing or use.,2025-08-11,4.68,11279.26,591308884.41
Maintain medical equipment or instruments.,2025-08-11,4.03,11039.93,863999529.15
Apply hygienic or cosmetic agents to skin or hair.,2025-08-11,3.05,10889.86,379511287.53
Develop systems or practices to mitigate or resolve environmental problems.,2025-08-11,7.73,10829.67,1135618224.00
Operate laboratory or field equipment.,2025-08-11,18.33,9375.09,669531345.09
Evaluate production inputs or outputs.,2025-08-11,4.77,9035.09,551814507.08
Direct vehicle traffic.,2025-08-11,4.25,8438.11,318334889.29
Collect environmental or biological samples.,2025-08-11,7.48,8204.07,515518880.20
Analyze environmental or geospatial data.,2025-08-11,15.94,7643.73,691568550.61
Alter audio or video recordings.,2025-08-11,33.46,7616.55,519313930.92
Teach safety procedures or standards to others.,2025-08-11,41.44,7474.65,354937899.65
"Clean workpieces, finished products, or other objects.",2025-08-11,3.28,6680.78,322252513.69
Research issues related to earth sciences.,2025-08-11,54.92,6425.73,545311162.64
Collect samples of products or materials.,2025-08-11,13.47,6414.89,316027102.91
"Discuss legal matters with clients, disputants, or legal professionals or staff.",2025-08-11,5.37,5996.16,884004824.65
Direct legal activities.,2025-08-11,7.41,5229.98,337913186.79
Gather information for news stories.,2025-08-11,53.38,5158.31,287772564.65
"Develop safety standards, policies, or procedures.",2025-08-11,6.05,4905.14,597735584.29
Operate pumping systems or equipment.,2025-08-11,6.63,4718.62,215171650.25
Assess compliance with environmental standards or regulations.,2025-08-11,19.85,4001.41,287734268.19
Follow standard healthcare safety procedures to protect patient and staff members.,2025-08-11,13.12,3784.62,283424451.94
Install plumbing or piping equipment or systems.,2025-08-11,7.06,3678.85,156476556.06
Fabricate medical devices.,2025-08-11,5.26,3543.65,540957716.99
Build structures.,2025-08-11,1.25,3285.00,178517117.26
Fit assistive devices to patients or clients.,2025-08-11,14.15,3220.79,149960142.31
Position tools or equipment.,2025-08-11,6.81,3184.97,187063133.21
Monitor traffic conditions.,2025-08-11,3.80,2858.02,99973702.25
Develop health assessment methods or programs.,2025-08-11,2.63,2821.13,177731086.73
Adjust medical equipment to ensure adequate performance.,2025-08-11,10.59,2792.93,459594822.16
Operate cutting or grinding equipment.,2025-08-11,3.05,2701.74,114086794.15
Drill holes in earth or materials.,2025-08-11,3.73,2649.09,105362240.79
Develop plans for managing or preserving natural resources.,2025-08-11,4.07,2642.38,334799487.07
Operate energy production or distribution equipment.,2025-08-11,6.62,2462.56,228291601.81
Assess characteristics of land or property.,2025-08-11,2.68,2443.70,196293011.33
Record images with photographic or audiovisual equipment.,2025-08-11,20.75,2412.22,134839700.65
Signal others to coordinate work activities.,2025-08-11,1.79,2126.13,92812756.18
Assemble products or work aids.,2025-08-11,0.87,2066.28,86858636.45
Develop contingency or emergency response plans.,2025-08-11,8.57,1896.70,156651027.09
Evaluate scholarly work.,2025-08-11,87.95,1838.89,143692486.69
Operate construction or excavation equipment.,2025-08-11,0.91,1388.23,68217586.56
Make legal decisions.,2025-08-11,21.19,1385.00,142514437.79
Remove workpieces from production equipment.,2025-08-11,1.66,1323.79,60873056.34
Direct security or safety activities or operations.,2025-08-11,7.43,1280.88,93591802.39
Disassemble equipment.,2025-08-11,0.88,1102.42,72941935.38
Research agricultural processes or practices.,2025-08-11,12.99,1025.30,82690418.61
Perform agricultural activities.,2025-08-11,2.70,964.15,34825202.46
Train animals.,2025-08-11,8.43,960.99,37238224.02
Process forensic or legal evidence.,2025-08-11,10.02,809.20,75725032.50
Repair workpieces or products.,2025-08-11,1.74,665.38,33061284.43
Draft legislation or regulations.,2025-08-11,20.63,558.49,25026000.72
Sew garments or materials.,2025-08-11,1.75,536.52,21922080.38
Evaluate green technologies or processes.,2025-08-11,4.15,531.47,27562015.05
Cut trees or other vegetation.,2025-08-11,5.25,510.47,23785093.77
Operate lifting or moving equipment.,2025-08-11,0.87,476.14,25929393.48
Manage agricultural or forestry operations.,2025-08-11,2.65,457.67,25366631.43
Take physical measurements of patients or clients.,2025-08-11,14.50,160.86,5535276.50
Dispose of waste or debris.,2025-08-11,0.14,157.14,7721665.23
Administer emergency medical treatment.,2025-08-11,1.18,112.63,7321831.28
Test sites or materials for environmental hazards.,2025-08-11,0.07,41.21,2972219.27
Tend watercraft.,2025-08-11,0.00,0.00,0.00
Groom or style hair.,2025-08-11,0.00,0.00,0.00
Manage control systems or activities.,2025-08-11,0.00,0.00,0.00
Hunt animals.,2025-08-11,0.00,0.00,0.00
Record information about environmental conditions.,2025-08-11,0.00,0.00,0.00
Engrave objects.,2025-08-11,0.00,0.00,0.00
Embalm corpses.,2025-08-11,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,2025-08-11,0.00,0.00,0.00
Climb equipment or structures.,2025-08-11,0.00,0.00,0.00
Shape materials to create products.,2025-08-11,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,2025-08-11,0.00,0.00,0.00
Supervise activities in correctional facilities.,2025-08-11,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,2025-08-11,0.00,0.00,0.00
"Provide information to guests, clients, or customers.",2025-11-13,70.79,3297975.59,162201451871.95
Execute financial transactions.,2025-11-13,61.60,2680603.25,107776376094.44
Respond to customer problems or inquiries.,2025-11-13,73.93,2173823.74,111980194117.18
Prepare foods or beverages.,2025-11-13,59.49,2118204.31,71841818809.17
Communicate with others about operational plans or activities.,2025-11-13,56.82,1886075.83,112144420682.63
"Provide general assistance to others, such as customers, patrons, or motorists.",2025-11-13,62.76,1634418.67,64388441995.53
Determine values or prices of goods or services.,2025-11-13,65.02,1497147.82,71491357067.76
Read documents or materials to inform work processes.,2025-11-13,61.59,1330824.68,75677910310.44
Explain technical details of products or services.,2025-11-13,81.81,1281335.85,60276263878.90
Maintain operational records.,2025-11-13,19.13,1201210.51,76499317555.06
"Prepare documentation for contracts, applications, or permits.",2025-11-13,69.20,1155598.88,57907798291.40
"Direct organizational operations, activities, or procedures.",2025-11-13,19.97,1032956.25,92968334031.82
Purchase goods or services.,2025-11-13,57.39,1010007.91,59253659347.20
Advise others on products or services.,2025-11-13,75.63,1007092.57,73859502387.65
Train others on operational or work procedures.,2025-11-13,53.17,1000600.80,67934970436.25
Maintain current knowledge in area of expertise.,2025-11-13,67.41,999220.15,76747775574.70
Perform administrative or clerical activities.,2025-11-13,66.53,950513.88,51190145249.54
Monitor individual behavior or performance.,2025-11-13,57.29,872944.90,53385141320.17
Evaluate the quality or accuracy of data.,2025-11-13,54.56,811070.38,47306936641.92
Prepare informational or instructional materials.,2025-11-13,76.52,810444.38,54084382589.67
"Measure physical characteristics of materials, products, or equipment.",2025-11-13,53.32,783818.47,35435796836.59
"Promote products, services, or programs.",2025-11-13,71.69,743520.88,41843994576.92
"Develop organizational policies, systems, or processes.",2025-11-13,35.60,723554.34,75959751790.72
Maintain sales or financial records.,2025-11-13,27.82,677313.74,29077911590.70
Design computer or information systems or applications.,2025-11-13,73.69,672849.44,72018637680.49
Advise others on business or operational matters.,2025-11-13,59.14,672493.54,62082462717.34
Maintain health or medical records.,2025-11-13,32.68,665754.75,54254086062.25
"Explain regulations, policies, or procedures.",2025-11-13,66.58,658256.83,46034863547.45
Teach academic or vocational subjects.,2025-11-13,57.82,655966.42,42288793850.00
Arrange displays or decorations.,2025-11-13,61.33,655743.38,26473339100.70
Implement procedures or processes.,2025-11-13,71.10,637089.40,69777278975.24
Train others on health or medical topics.,2025-11-13,45.09,636370.73,34664841288.68
"Develop educational programs, plans, or procedures.",2025-11-13,36.66,627861.08,38701723484.27
Analyze data to improve operations.,2025-11-13,39.00,618660.83,67812947439.16
"Compile records, documentation, or other data.",2025-11-13,72.08,612264.43,37732018251.05
Schedule appointments.,2025-11-13,57.54,606802.25,26859675602.85
Analyze business or financial data.,2025-11-13,69.19,595294.47,53741726418.72
Operate office equipment.,2025-11-13,58.86,589184.86,26587155501.14
Process digital or online data.,2025-11-13,65.82,584090.38,38773707287.55
Develop operational or technical procedures or standards.,2025-11-13,65.89,557310.47,56869751655.79
"Assess student capabilities, needs, or performance.",2025-11-13,67.46,550216.05,36848283958.71
Adjust equipment to ensure adequate performance.,2025-11-13,56.18,529378.21,28994625262.31
Provide food or beverage services.,2025-11-13,18.79,521340.58,16691696293.13
Assist others to access additional services or resources.,2025-11-13,55.68,520894.09,28753750474.17
Examine materials or documentation for accuracy or compliance.,2025-11-13,61.80,519345.87,32338344648.35
Analyze health or medical data.,2025-11-13,62.62,510860.46,55670467123.09
Prepare mixtures or solutions.,2025-11-13,56.19,510337.37,22370910575.48
Create visual designs or displays.,2025-11-13,60.45,506565.24,38062748083.25
Supervise personnel activities.,2025-11-13,17.92,492720.56,33945573692.24
Assist individuals with special needs.,2025-11-13,6.75,483469.20,17529815493.42
Collect data about consumer needs or opinions.,2025-11-13,52.56,482779.36,22942804157.81
Operate computer systems or computerized equipment.,2025-11-13,76.50,479218.12,24386389669.48
Advise others on educational or vocational matters.,2025-11-13,68.23,475926.79,33743617183.13
Present research or technical information.,2025-11-13,69.82,461204.55,36362412606.14
Maintain safety or security.,2025-11-13,46.73,460728.31,21484273841.91
Test performance of equipment or systems.,2025-11-13,56.97,456715.60,28989018153.68
"Distribute materials, supplies, or resources.",2025-11-13,57.85,452009.18,21088369302.59
Analyze market or industry conditions.,2025-11-13,76.51,448502.86,40543285358.61
Calculate financial data.,2025-11-13,64.31,432057.96,25659065835.53
Gather information from physical or electronic sources.,2025-11-13,69.93,417996.40,23464752471.27
Explain medical information to patients or family members.,2025-11-13,63.31,413924.36,36551760729.53
Collect fares or payments.,2025-11-13,14.06,405932.16,17525189980.63
Interview people to obtain information.,2025-11-13,50.30,399638.85,28522286971.49
Advise others on the design or use of technologies.,2025-11-13,66.77,398779.86,37336753622.75
Assign work to others.,2025-11-13,27.81,392233.59,22729678310.41
Develop business or marketing plans.,2025-11-13,57.23,385046.84,42711169132.05
Inspect characteristics or conditions of materials or products.,2025-11-13,54.01,366864.17,19044596576.31
Determine resource needs of projects or operations.,2025-11-13,53.96,366661.15,30407391390.08
Select materials or equipment for operations or projects.,2025-11-13,55.83,360393.04,21308493202.17
Perform recruiting or hiring activities.,2025-11-13,40.47,353291.95,28372062985.22
Plan work activities.,2025-11-13,54.15,350381.26,23598620797.72
Coordinate with others to resolve problems.,2025-11-13,56.31,312650.89,24386368397.51
"Evaluate programs, practices, or processes.",2025-11-13,72.24,308080.27,29249306434.09
Manage budgets or finances.,2025-11-13,37.47,305273.53,44937107766.14
Train others to use equipment or products.,2025-11-13,48.36,302465.87,19723511307.36
Teach life skills.,2025-11-13,57.42,298800.91,12640194789.52
Communicate with others about specifications or project details.,2025-11-13,61.53,297956.39,27448652777.47
"Set up classrooms, facilities, educational materials, or equipment.",2025-11-13,49.50,296390.95,17832644614.34
Counsel others about personal matters.,2025-11-13,50.30,294768.29,15826028731.66
Prepare health or medical documents.,2025-11-13,47.63,289224.99,13196890922.65
Communicate with others about business strategies.,2025-11-13,61.82,288049.03,24448051898.33
Gather data about operational or development activities.,2025-11-13,58.82,286283.54,27028508544.96
Monitor operation of computer or information technologies.,2025-11-13,67.21,284223.29,28508837590.29
Identify business or organizational opportunities.,2025-11-13,63.73,283056.97,23230395462.15
Direct construction or extraction activities.,2025-11-13,24.05,280275.58,26863389602.33
Monitor financial data or activities.,2025-11-13,34.15,279086.52,21136909576.94
Resolve computer problems.,2025-11-13,71.01,271282.17,24175332850.60
Investigate criminal or legal matters.,2025-11-13,56.27,262266.59,19733701685.89
Provide support or encouragement to others.,2025-11-13,51.11,258993.19,17780694593.39
Determine operational methods or procedures.,2025-11-13,62.30,251030.20,18221201322.75
Manage human resources activities.,2025-11-13,29.14,249904.91,20756509766.27
"Inspect commercial, industrial, or production systems or equipment.",2025-11-13,10.54,241440.31,13299960563.58
Develop patient or client care or treatment plans.,2025-11-13,46.55,241378.41,24984320633.31
Monitor operations to ensure compliance with regulations or standards.,2025-11-13,21.84,237814.10,17307721311.06
Prepare reports of operational or procedural activities.,2025-11-13,20.06,233403.80,20024171063.85
"Monitor external affairs, trends, or events.",2025-11-13,63.96,232983.42,18716251772.50
"Set up computer systems, networks, or other information systems.",2025-11-13,69.90,226730.66,17781104206.65
Monitor health conditions of humans or animals.,2025-11-13,16.44,226398.85,18132420325.36
"Maintain electronic, computer, or other technical equipment.",2025-11-13,61.95,223888.75,18869339505.72
Reconcile financial data.,2025-11-13,12.16,221544.69,9484373758.99
Test performance of computer or information systems.,2025-11-13,66.92,221188.79,21084429765.70
Operate audiovisual or related equipment.,2025-11-13,23.98,218159.99,8666019326.08
Program computer systems or production equipment.,2025-11-13,70.41,215489.71,18169850198.09
Sell products or services.,2025-11-13,19.75,209298.12,10721298394.81
Explain financial information.,2025-11-13,74.02,208740.55,14748455540.54
Connect components or supply lines to equipment or tools.,2025-11-13,55.16,206861.16,11683641330.86
"Prepare financial documents, reports, or budgets.",2025-11-13,28.69,200246.94,17498037367.80
Stock supplies or products.,2025-11-13,9.64,197041.99,9962632347.90
Develop organizational or program goals or objectives.,2025-11-13,43.67,186489.16,24968665939.78
Evaluate patient or client condition or treatment options.,2025-11-13,24.93,185998.54,13440169095.42
"Evaluate the characteristics, usefulness, or performance of products or technologies.",2025-11-13,60.75,185513.20,19892049469.43
"Clean tools, equipment, facilities, or work areas.",2025-11-13,3.35,183991.80,7762690283.80
"Evaluate designs, specifications, or other technical data.",2025-11-13,59.23,183685.40,19627403595.68
Provide information or assistance to the public.,2025-11-13,64.87,182806.19,12937792324.46
"Examine financial activities, operations, or systems.",2025-11-13,15.87,182509.17,10299886731.12
Advise patients or clients on medical issues.,2025-11-13,61.71,182316.39,19964108543.39
Negotiate contracts or agreements.,2025-11-13,29.70,175110.95,13355203134.12
"Monitor safety or security of work areas, facilities, or properties.",2025-11-13,13.27,174137.05,9351964371.03
Maintain facilities or equipment.,2025-11-13,55.14,173380.28,8656771395.38
Set up equipment.,2025-11-13,59.48,171391.40,8002719167.07
Consult legal materials or public records.,2025-11-13,66.48,170909.70,17897855753.01
Advise others on legal or regulatory matters.,2025-11-13,55.10,167876.32,21760506588.35
Prepare legal or regulatory documents.,2025-11-13,40.96,166689.12,12677932816.51
Schedule operational activities.,2025-11-13,26.07,165176.92,9837519898.51
Verify personal information.,2025-11-13,49.53,164842.69,11510819755.37
Write material for artistic or commercial purposes.,2025-11-13,79.85,162734.04,12092385946.75
Monitor resources or inventories.,2025-11-13,20.16,160264.92,10070710705.91
"Research laws, precedents, or other legal data.",2025-11-13,89.32,157849.60,22480782133.36
Confer with healthcare or other professionals about patient care.,2025-11-13,16.94,157406.66,12250317264.53
Operate communications equipment or systems.,2025-11-13,54.16,155996.24,8188582437.67
Sort materials or products.,2025-11-13,21.90,151516.84,7478288758.91
Develop marketing or promotional materials.,2025-11-13,84.72,150409.58,11859556334.10
Process shipments or mail.,2025-11-13,18.18,149604.88,7884941793.98
Authorize business activities or transactions.,2025-11-13,39.19,148641.76,21171948324.70
Monitor equipment operation.,2025-11-13,6.33,148060.70,6699805534.02
Notify others of emergencies or problems.,2025-11-13,8.80,144003.64,9273258530.43
Analyze scientific or applied data using mathematical principles.,2025-11-13,78.91,141255.48,17429431256.37
"Document technical designs, procedures, or activities.",2025-11-13,65.33,140063.76,14098200942.63
Develop professional relationships or networks.,2025-11-13,59.17,139102.58,12148811026.64
Implement security measures for computer or information systems.,2025-11-13,68.57,136929.34,14779987257.04
Collect information about patients or clients.,2025-11-13,27.78,136594.33,11098362558.46
Advise others on healthcare or wellness issues.,2025-11-13,49.84,135039.40,13365903634.76
Assist healthcare practitioners during medical procedures.,2025-11-13,11.02,135026.81,6954650181.58
Analyze biological or chemical substances or related data.,2025-11-13,64.76,133052.21,11677684697.86
Advise others on financial matters.,2025-11-13,73.44,132652.26,10783939338.71
Develop recipes or menus.,2025-11-13,62.86,131125.85,5365917443.15
Evaluate personnel capabilities or performance.,2025-11-13,24.38,130833.17,15512683850.32
Position materials or components for assembly.,2025-11-13,9.40,130480.12,6902981747.73
"Replenish inventories of materials, equipment, or products.",2025-11-13,15.86,123502.21,8006236509.59
Develop technical specifications for products or operations.,2025-11-13,64.53,123087.33,12129191219.51
Inspect completed work or finished products.,2025-11-13,10.98,116669.69,6673636700.64
"Coordinate activities with clients, agencies, or organizations.",2025-11-13,32.12,116398.69,13797527958.37
Edit written materials or documents.,2025-11-13,77.84,114002.05,9770626610.80
Prescribe medical treatments or devices.,2025-11-13,13.19,110916.96,8735264110.52
Repair electrical or electronic equipment.,2025-11-13,21.30,108689.02,7168994745.87
Research technology designs or applications.,2025-11-13,69.95,108319.24,11402243903.82
Install commercial or production equipment.,2025-11-13,14.82,108291.13,7466956912.09
Analyze business or financial risks.,2025-11-13,43.05,104268.86,9288016635.42
Escort others.,2025-11-13,21.35,100478.95,3552550984.16
Diagnose system or equipment problems.,2025-11-13,60.01,98621.35,6121775276.50
"Assess living, work, or social needs or status of individuals or communities.",2025-11-13,46.53,94636.88,6688517456.05
Confer with clients to determine needs or order specifications.,2025-11-13,56.01,94224.85,6001605686.94
"Research organizational behavior, processes, or performance.",2025-11-13,66.69,91730.70,7562341691.89
Diagnose health conditions or disorders.,2025-11-13,14.43,87542.48,9234173088.57
Monitor operations to ensure adequate performance.,2025-11-13,9.93,87156.37,7765686174.97
"Move materials, equipment, or supplies.",2025-11-13,6.22,86194.90,3064596177.38
Analyze performance of systems or equipment.,2025-11-13,62.07,85439.72,7040108382.71
Direct scientific or technical activities.,2025-11-13,21.78,83997.99,8926828852.84
Prepare schedules for services or facilities.,2025-11-13,30.96,83095.91,3832227115.82
Maintain tools or equipment.,2025-11-13,6.27,82962.93,4478198982.48
"Evaluate condition of financial assets, property, or other resources.",2025-11-13,26.20,81113.90,6894403581.69
Plan events or programs.,2025-11-13,67.41,80619.10,6786473731.35
Collaborate in the development of educational programs.,2025-11-13,37.92,79243.20,4677391390.49
Prepare proposals or grant applications.,2025-11-13,51.19,78260.54,6133140098.16
Package objects.,2025-11-13,4.92,74320.64,2344979123.04
Repair tools or equipment.,2025-11-13,11.62,73482.91,4166777297.81
Estimate project development or operational costs.,2025-11-13,25.20,73345.21,5567395272.52
"Coordinate group, community, or public activities.",2025-11-13,26.71,69510.28,5316988470.19
Care for plants or animals.,2025-11-13,54.50,66628.56,2594237588.52
Mark materials or objects for identification.,2025-11-13,6.46,66379.42,2896357403.67
Issue documentation.,2025-11-13,56.93,66106.36,3117981052.60
Transport patients or clients.,2025-11-13,13.40,63809.88,2820396648.97
Prepare medical equipment or work areas for use.,2025-11-13,17.12,62791.68,3566585827.14
Design structures or facilities.,2025-11-13,35.46,61617.20,5955330371.44
Assess characteristics or impacts of regulations or policies.,2025-11-13,65.61,61310.65,5332506616.80
Research biological or ecological phenomena.,2025-11-13,71.21,61216.86,5413564054.73
Design electrical or electronic systems or equipment.,2025-11-13,34.74,61075.38,6382012943.84
Test characteristics of materials or products.,2025-11-13,23.36,58660.16,3503314817.56
Operate medical equipment.,2025-11-13,16.43,56756.79,6424799658.14
"Develop models of systems, processes, or products.",2025-11-13,61.30,56006.06,6453268864.89
Administer basic health care or medical treatments.,2025-11-13,8.34,55457.60,5064239916.13
